zipcode,num_gross_es_hotelservices,num_gross_es_travel,num_gross_es_barsandrestaurants,num_gross_es_transportation
28001,638633.62,77265.76,1809993.09,71674.08
28002,,200219.04,705802.74,192850.06
28003,,259980.77,781627.14,
28004,678911.02,152221.1,1560204.26,42797.48
28005,244545.7,222974.64,1151932.32,100804.5
28006,290080.65,314202.12,1217288.16,
28007,,133005.72,269443.93,
28008,225841.2,352394.33,648458.44,1314115.32
28009,,263736.62,991629.58,
28010,252442.68,211881.4,694168.04,185544.8
28011,,35757.54,473009.65,153148.27
28012,476783.04,,808535.91,64699.37
28013,945591.39,,1195611.97,446185.56
28014,490462.5,100562.88,1025342.76,
28015,348911.64,133746.8,813615.34,
28016,18019.98,,498790.53,158551.2
28019,,54845.1,136468.64,80370.9
28020,167904.0,215041.8,1552856.7,449535.16
28021,,,132875.67,195732.8
28022,84416.97,78106.56,456727.74,192656.07
28023,,,286595.25,
28024,,,110158.62,
28025,,80137.05,104813.1,203008.0
28026,,46011.72,187934.81,85547.25
28027,,125435.1,586159.56,156901.5
28028,,574624.16,336656.95,82896.0
28029,,,289301.98,191802.08
28030,,91626.48,155578.5,120697.94
28031,,,100469.56,314169.57
28032,,64586.47,282143.4,
28033,47532.12,,372466.61,376479.84
28034,28564.6,,268935.94,89804.01
28035,,,172539.18,309670.8
28036,,82208.28,1229696.46,
28037,,,275696.04,136522.08
28038,,96831.98,133850.08,261868.76
28039,1697.96,,129977.32,204619.86
28040,,,67324.68,3980.34
28041,,,113474.67,309026.48
28042,,28210.5,469431.68,
28043,27612.24,361858.49,863955.84,177317.0
28044,,,136269.54,130860.06
28045,31980.59,123797.52,658847.07,1863001.74
28046,117595.8,237451.4,678445.11,378987.81
28047,,83780.84,91027.68,182221.32
28049,,,528232.6,
28050,,,1326273.78,
28052,,,10158.0,
28053,,,75650.84,77562.24
28055,,,8552.32,1419.0
28100,,101325.48,246799.36,203062.2
28108,,,316534.4,284550.0
28109,,,379489.86,40741.08
28110,,,15945.38,
28140,,,3801.2,
28180,,,3180.1,
28190,,,,
28192,,,,
28193,,,,
28200,,,193438.41,
28210,,,19042.53,
28220,,,265301.76,15384.84
28223,,,143163.84,156694.59
28224,,,575105.52,267167.45
28229,,,40254.16,
28231,,,61931.4,6671.2
28250,,,215738.15,
28270,,,5193.84,664.52
28280,,,,
28290,10871.04,,37704.48,
28292,,,,
28293,,,9247.84,
28294,,,,
28295,,,,
28296,,,4001.13,
28300,,85210.38,158427.0,75938.4
28320,,60639.0,122163.6,284115.0
28330,10997.28,,40249.44,
28341,,,54445.56,49058.9
28342,,,72372.06,47257.82
28343,,,,
28350,,,26553.87,32389.76
28359,,,,
28360,,,,255.86
28370,,,11883.85,
28400,8711.83,62738.75,227469.63,164850.4
28410,,,11814.05,
28411,1980.24,,40230.0,27416.92
28430,,,25179.66,
28440,,,134822.9,
28450,,,,
28460,,,7823.4,
28470,60099.24,,74799.36,
28480,,,,
28490,,,15483.16,
28491,14390.26,,52908.96,
28500,,29491.27,93381.6,222794.0
28510,,,,1673.36
28511,,,,
28515,,,,
28521,,,193993.3,26406.27
28522,,,90481.02,84548.75
28523,,,19943.04,16073.48
28590,,,,
28600,,,66802.01,19796.4
28630,,,809.6,324.19
28640,,,,
28650,,,,
28660,,,288801.24,
28669,,,4906.3,5302.28
28670,,,57307.4,
28680,,,10025.54,
28690,,,14220.43,
28691,,,126164.79,
28696,,,1597.14,
28701,,39520.0,23259.6,20171.8
28703,,,372623.9,70653.7
28706,,,,
28710,,,18867.04,
28720,,,3299.36,
28721,,,,
28723,,,15886.08,
28730,,,7033.26,18394.98
28737,,,,
28739,,,,
28740,10276.2,,12154.28,
28742,,,,
28743,,,,
28750,,,33259.48,
28751,7413.28,,,
28752,,,,
28754,,,,
28755,,,,
28756,,,,
28760,,,306573.84,331610.65
28770,,,226028.9,275948.4
28791,,,26663.22,
28792,,,27717.61,22424.22
28801,,,126801.44,
28802,,,11398.5,
28803,,,16143.04,5336.76
28804,,,25194.54,7178.2
28805,11501.6,90327.12,49499.25,125878.59
28806,,,128468.97,
28807,2368.8,,16358.2,
28810,,,22337.37,
28813,,,16319.76,5319.9
28814,,,11663.19,
28816,,,8195.68,6389.02
28818,,,,
28820,,,,
28823,,,44795.42,157264.25
28830,,17836.52,62867.52,197216.14
28840,,,18485.7,47448.7
28850,32829.72,81181.12,425412.12,400306.05
28860,,,93639.5,97053.0
28864,,,7668.0,
28880,,,39810.35,65318.36
28890,,,10174.2,
28891,,,13608.18,20119.12
28901,,25868.7,53206.78,
28904,,,9876.24,6688.2
28905,,,54994.95,
28906,,,244167.5,32096.57
28911,,145528.26,41884.95,15262.06
28912,,,9269.76,
28922,,72571.4,218550.88,133861.65
28931,,,16272.72,4785.88
28934,,29047.05,26583.8,10144.08
28939,,,278417.92,52013.5
28941,,,13259.4,21932.44
28944,,,33655.16,38864.88
28946,,,22292.46,
28950,,,,
28970,,,29142.96,49385.15
28971,,,17245.9,10387.0
28977,,,,1434.51
28978,,,,2597.76
28979,,,,774.28
28980,,,,
28982,,,44923.67,18757.31
28017,,70356.28,74358.61,214146.2
28018,,,51855.63,88753.07
28051,,,283974.92,
28054,,,176382.48,437832.45
28221,,,,
28232,,,332289.36,7205.94
28260,,,42676.2,78608.48
28530,,,,
28607,,,,23724.65
28700,,,27737.8,
28821,,,30531.35,25061.26
28822,,,7451.84,31476.6
28902,,,15894.84,6197.01
28903,,,50623.63,
28907,,,,
28909,,,1491.39,34743.2
28913,,,,14767.92
28914,,,62995.8,104274.81
28915,,,37341.88,40077.12
28916,,61259.84,164408.8,19544.88
28919,,,31129.8,22909.44
28921,,,,17360.82
28923,,,48111.0,460101.6
28924,,,94472.4,10163.02
28925,,,50051.4,29015.19
28933,,,33184.0,
28935,,26278.56,88975.44,190470.83
28937,,,,13392.15
28938,,,23667.0,54586.82
28942,,,68707.02,116635.2
28943,,43483.95,111866.2,54650.7
28945,,,20440.35,
28981,,,28606.44,23170.5
28983,,,20839.55,
28991,,,12448.67,
28048,,,31950.48,
28119,,,,
28120,,,,
28130,,,4338.75,616.11
28150,,,,
28160,,,,
28189,,,,
28191,,,,
28194,,,,
28211,,,,
28212,,,,
28213,,,2291.72,
28214,,,,
28222,,,102836.6,90501.75
28230,,,,
28240,,,20821.38,
28340,,,,
28380,,,,
28391,,,,
28412,,,,
28413,,,,
28420,,,,
28492,,,,
28514,,,9708.54,
28529,,,9420.6,
28540,,,,
28550,,,,
28560,,,,224.51
28595,,,,
28597,,,,
28598,,,,
28609,,,24686.25,20910.12
28610,,,,
28620,,,,
28649,,,,
28668,,,,
28692,,,2331.0,
28693,,,,5657.22
28694,,,,
28695,,,,
28702,,,175995.6,22228.3
28722,,,,
28729,,,7754.76,486.64
28749,,,,
28753,,,,
28794,,,13307.58,
28815,,,,
28817,,,,
28863,,,13639.92,
28917,,,3468.08,
28918,,,30082.86,20309.76
28932,,,13061.86,13358.26
28936,,,,120487.62
28947,,,1982.03,
28990,,,,5078.22
28219,,,,
28390,,,,
28479,,,,
28512,,,,
28524,,,,
28570,,,,
28594,,,,
28708,,,,
28811,,,,
28812,,,,
28976,,,,
